Lost,LOSTIN,"Never/Sometimes/Often [0,2]","Measure: BLESSED DEMENTIA SCALE
Memory and performance of everyday activities: rate subject's LOSS of ability to do the tasks listed below.
Find way about indoors (home or other familiar locations)",ADBL1D,"0.  None
0.5.  Some
1.  Severe
97.  Not assessed/Not asked","0=0 , 1=0.5 , 2=1"
Chores,CHORES,"Never/Sometimes/Often [0,2]","Measure: BLESSED DEMENTIA SCALE
Memory and performance of everyday activities: rate subject's LOSS of ability to do the tasks listed below.
Perform household tasks",ADBL1A,"0.  None
0.5.  Some
1.  Severe
97.  Not assessed/Not asked","0=0 , 1=0.5 ,  2=1"
Chores Disability,CHOREDIS,"No/Yes [0,1]",Measure: BLESSED DEMENTIA SCALE,ADBL1AR,"0.  Physical
1.  Mental
2.  Both physical and mental
96.  Skipped (Not applicable)
97.  Not assessed/Not asked","0=1,2 ; 1=0,96"
Hobby,HOBBY,"No/Yes [0,1]","81. Now I have a few questions about her/his hobbies.  Does (s/he) have more difficulty than in the past performing her/his hobbies?
Hobbies may include things like sewing, painting, handicrafts, reading,
entertaining, photography, gardening, going to theater or symphony, woodworking,
participating in sports.",AC99,"1 - little
2 - some
3 - much
4 - no
7 - refused
8 - don’t know","0=4 ; 1 = 1,2,3"
Money,MONEY,"No difficulty/some difficulty/cannot handle money [0,2]","Measure: BLESSED DEMENTIA SCALE
Memory and performance of everyday activities: rate subject's LOSS of ability to do the tasks listed below.
Cope with small sums of money",ADBL1B,"0.  None
0.5.  Some
1.  Severe
97.  Not assessed/Not asked",0-0   1-0.5  2-1
,REASON,"No change/yes, some change [0,1]","Measure: DEMENTIA SEVERITY RATING SCALE
(Please circle one item in each category that best describes how your
(RELATIONSHIP OF SUBJECT TO INFORMANT) is doing at the present time.  Please feel free to ask questions if any items are unclear.)",ADDRS3,"1.  Normal
2.  Only questionable impairment in problem solving ability
3.  Moderate difficulty in handling complex problems, but social judgment is usually maintained
4.  Severe impairment in handling problems, social judgment impaired
5.  Unable to exercise judgment in either problem solving or social situations
97.  Not assessed/Not asked
98.  DK (Don't Know)","0=1,2   1=3,4,5"
Feed,FEED,"Eats cleanly with proper utensils/ eats messily with spoon only/simple solids such as biscuits/has to be fed [0,3]","For three items assessing activities of daily living (i.e., eating, dressing, toileting), the informant reported the level of assistance the subject needed on a three-point scale. For all items, the informant also noted whether the loss of ability or the need for assistance in each area was due to Mental (i.e. cognitive) and/or Physical reasons.  The score is weighted based on the severity of the loss.  The only items counted in the score are losses for which the cause is 'Mental' or 'Both' (Mental and Physical).",ADBL2EA,"0.  Feeds self without assistance
1.  Feeds self with minor assistance
2.  Feeds self with much assistance
3.  Has to be fed
97.  Not assessed/Not asked",0=0 ; 1=1 ;  2=2 ; 3=3
Feeding Disability,FEEDDIS,"No/Yes [0,1]",REASON FOR BLESSED SCORE - ADBL2EA,ADBL2EAR,"0.  Physical
1.  Mental
2.  Both physical and mental
96.  Skipped (Not applicable)
97.  Not assessed/Not asked","0=1,2 ;  1=0,96"
Dressing,DRESS,"Dresses self/occasionally misplaces buttons etc/wrong sequences, commonly forgets items/cannot dress [0,3]","For three items assessing activities of daily living (i.e., eating, dressing, toileting), the informant reported the level of assistance the subject needed on a three-point scale. For all items, the informant also noted whether the loss of ability or the need for assistance in each area was due to Mental (i.e. cognitive) and/or Physical reasons.  The score is weighted based on the severity of the loss.  The only items counted in the score are losses for which the cause is 'Mental' or 'Both' (Mental and Physical).",ADBL2DRE,"0.  Unaided
1.  Occasionally misplaces buttons, etc., requires minor help
2.  Wrong sequences, forgets items, requires much assistance
3.  Unable to dress
97.  Not assessed/Not asked",0= 0 ; 1=1 ; 2=2 ; 3=3
Dressing Disability,DRESSDIS,"No/Yes [0,1]",REASON FOR BLESSED SCORE - ADBL2DRE,ADBL2DRR,"0.  Physical
1.  Mental
2.  Both physical and mental
96.  Skipped (Not applicable)
97.  Not assessed/Not asked","0=1,2 ;  1=0,96."
Toilet,TOILET,"No problems/occasionally wets the bed/frequently wets bed/double incontenence [0,3]","For three items assessing activities of daily living (i.e., eating, dressing, toileting), the informant reported the level of assistance the subject needed on a three-point scale. For all items, the informant also noted whether the loss of ability or the need for assistance in each area was due to Mental (i.e. cognitive) and/or Physical reasons.  The score is weighted based on the severity of the loss.  The only items counted in the score are losses for which the cause is 'Mental' or 'Both' (Mental and Physical).",ADBL2TO ,"0.  Clean, cares for self at toilet
1.  Occasional incontinence, or needs to be reminded
2.  Frequent incontinence, or needs much assistance
3.  Little or no control
97.  Not assessed/Not asked",0= 0 ; 1=1 ; 2=2 ; 3=3
Toilet Disability,TOILDIS,"No/Yes [0,1]",REASON FOR BLESSED SCORE - ADBL2TO,ADBL2TOR,"0.  Physical
1.  Mental
2.  Both physical and mental
96.  Skipped (Not applicable)
97.  Not assessed/Not asked","0=1,2 ; 1=0,96"
Mistake,MISTAKE,"No/Yes [0,1]","Measure: DEMENTIA SEVERITY RATING SCALE
(Please circle one item in each category that best describes how your
(RELATIONSHIP OF SUBJECT TO INFORMANT) is doing at the present time.  Please feel free to ask questions if any items are unclear.)",ADDRS8,"1.  Normal
2.  Occasionally fails to recognize distant acquaintances or casual friends
3.  Always recognizes family and close friends but frequently fails to recognize others
4.  Occasionally fails to recognize family members and/or close friends
5.  Only occasionally recognizes spouse or caregiver
6.  No recognition or awareness of the presence of others
97.  Not assessed/Not asked
98.  DK (Don't Know)","0=1,2  ; 1=3,4,5,6"
Decisions,DECIDE,"No/Yes [0,1]","Measure: DEMENTIA SEVERITY RATING SCALE
(Please circle one item in each category that best describes how your
(RELATIONSHIP OF SUBJECT TO INFORMANT) is doing at the present time.  Please feel free to ask questions if any items are unclear.)",ADDRS3,"1.  Normal
2.  Only questionable impairment in problem solving ability
3.  Moderate difficulty in handling complex problems, but social judgment is usually maintained
4.  Severe impairment in handling problems, social judgment impaired
5.  Unable to exercise judgment in either problem solving or social situations
97.  Not assessed/Not asked
98.  DK (Don't Know)","0=1,2 ; 1=3,4,5"
